ANO,Código da Unidade da Federação,Nome da Unidade da Federação,Código do Município,Município,IDHM,IDHM Educação,IDHM Longevidade,IDHM Renda
2010,11,Rondônia,110001,ALTA FLORESTA D'OESTE,"0,641","0,526","0,763","0,657"
2010,11,Rondônia,110002,ARIQUEMES,"0,702","0,6","0,806","0,716"
2010,11,Rondônia,110003,CABIXI,"0,65","0,559","0,757","0,65"
2010,11,Rondônia,110004,CACOAL,"0,718","0,62","0,821","0,727"
2010,11,Rondônia,110005,CEREJEIRAS,"0,692","0,602","0,799","0,688"
2010,11,Rondônia,110006,COLORADO DO OESTE,"0,685","0,584","0,814","0,676"
2010,11,Rondônia,110007,CORUMBIARA,"0,613","0,473","0,774","0,63"
2010,11,Rondônia,110008,COSTA MARQUES,"0,611","0,493","0,751","0,616"
2010,11,Rondônia,110009,ESPIGÃO D'OESTE,"0,672","0,536","0,819","0,691"
2010,11,Rondônia,110010,GUAJARÁ-MIRIM,"0,657","0,519","0,823","0,663"
2010,11,Rondônia,110011,JARU,"0,689","0,577","0,825","0,687"
2010,11,Rondônia,110012,JI-PARANÁ,"0,714","0,617","0,81","0,728"
2010,11,Rondônia,110013,MACHADINHO D'OESTE,"0,596","0,446","0,755","0,629"
2010,11,Rondônia,110014,NOVA BRASILÂNDIA D'OESTE,"0,643","0,524","0,763","0,664"
2010,11,Rondônia,110015,OURO PRETO DO OESTE,"0,682","0,569","0,812","0,687"
2010,11,Rondônia,110018,PIMENTA BUENO,"0,71","0,613","0,803","0,726"
2010,11,Rondônia,110020,PORTO VELHO,"0,736","0,638","0,819","0,764"
2010,11,Rondônia,110025,PRESIDENTE MÉDICI,"0,664","0,55","0,792","0,671"
2010,11,Rondônia,110026,RIO CRESPO,"0,643","0,513","0,813","0,637"
2010,11,Rondônia,110028,ROLIM DE MOURA,"0,7","0,598","0,808","0,709"
2010,11,Rondônia,110029,SANTA LUZIA D'OESTE,"0,67","0,564","0,812","0,657"
2010,11,Rondônia,110030,VILHENA,"0,731","0,659","0,808","0,734"
2010,11,Rondônia,110032,SÃO MIGUEL DO GUAPORÉ,"0,646","0,537","0,781","0,644"
2010,11,Rondônia,110033,NOVA MAMORÉ,"0,587","0,424","0,769","0,619"
2010,11,Rondônia,110034,ALVORADA D'OESTE,"0,643","0,534","0,763","0,654"
2010,11,Rondônia,110037,ALTO ALEGRE DOS PARECIS,"0,592","0,443","0,777","0,603"
2010,11,Rondônia,110040,ALTO PARAÍSO,"0,625","0,457","0,804","0,664"
2010,11,Rondônia,110045,BURITIS,"0,616","0,479","0,751","0,65"
2010,11,Rondônia,110050,NOVO HORIZONTE DO OESTE,"0,634","0,527","0,799","0,606"
2010,11,Rondônia,110060,CACAULÂNDIA,"0,646","0,506","0,801","0,664"
2010,11,Rondônia,110070,CAMPO NOVO DE RONDÔNIA,"0,593","0,404","0,772","0,667"
2010,11,Rondônia,110080,CANDEIAS DO JAMARI,"0,649","0,512","0,819","0,652"
2010,11,Rondônia,110090,CASTANHEIRAS,"0,658","0,547","0,803","0,65"
2010,11,Rondônia,110092,CHUPINGUAIA,"0,652","0,514","0,82","0,659"
2010,11,Rondônia,110094,CUJUBIM,"0,612","0,439","0,789","0,663"
2010,11,Rondônia,110100,GOVERNADOR JORGE TEIXEIRA,"0,596","0,444","0,762","0,627"
2010,11,Rondônia,110110,ITAPUÃ DO OESTE,"0,614","0,488","0,751","0,633"
2010,11,Rondônia,110120,MINISTRO ANDREAZZA,"0,638","0,518","0,776","0,647"
2010,11,Rondônia,110130,MIRANTE DA SERRA,"0,643","0,494","0,8","0,673"
2010,11,Rondônia,110140,MONTE NEGRO,"0,607","0,454","0,762","0,645"
2010,11,Rondônia,110143,NOVA UNIÃO,"0,587","0,442","0,753","0,608"
2010,11,Rondônia,110145,PARECIS,"0,617","0,485","0,8","0,604"
2010,11,Rondônia,110146,PIMENTEIRAS DO OESTE,"0,665","0,545","0,816","0,662"
2010,11,Rondônia,110147,PRIMAVERA DE RONDÔNIA,"0,641","0,512","0,799","0,645"
2010,11,Rondônia,110148,SÃO FELIPE D'OESTE,"0,649","0,571","0,78","0,615"
2010,11,Rondônia,110149,SÃO FRANCISCO DO GUAPORÉ,"0,611","0,462","0,751","0,657"
2010,11,Rondônia,110150,SERINGUEIRAS,"0,598","0,427","0,779","0,644"
2010,11,Rondônia,110155,TEIXEIRÓPOLIS,"0,643","0,498","0,818","0,653"
2010,11,Rondônia,110160,THEOBROMA,"0,589","0,434","0,757","0,622"
2010,11,Rondônia,110170,URUPÁ,"0,609","0,471","0,772","0,621"
2010,11,Rondônia,110175,VALE DO ANARI,"0,584","0,421","0,756","0,626"
2010,11,Rondônia,110180,VALE DO PARAÍSO,"0,627","0,485","0,792","0,641"
2010,12,Acre,120001,ACRELÂNDIA,"0,604","0,466","0,808","0,584"
2010,12,Acre,120005,ASSIS BRASIL,"0,588","0,456","0,77","0,578"
2010,12,Acre,120010,BRASILÉIA,"0,614","0,485","0,77","0,619"
2010,12,Acre,120013,BUJARI,"0,589","0,439","0,772","0,603"
2010,12,Acre,120017,CAPIXABA,"0,575","0,398","0,794","0,601"
2010,12,Acre,120020,CRUZEIRO DO SUL,"0,664","0,582","0,776","0,648"
2010,12,Acre,120025,EPITACIOLÂNDIA,"0,653","0,553","0,771","0,654"
2010,12,Acre,120030,FEIJÓ,"0,539","0,388","0,723","0,559"
2010,12,Acre,120032,JORDÃO,"0,469","0,283","0,731","0,499"
2010,12,Acre,120033,MÂNCIO LIMA,"0,625","0,546","0,77","0,58"
2010,12,Acre,120034,MANOEL URBANO,"0,551","0,373","0,767","0,586"
2010,12,Acre,120035,MARECHAL THAUMATURGO,"0,501","0,361","0,726","0,479"
2010,12,Acre,120038,PLÁCIDO DE CASTRO,"0,622","0,517","0,786","0,593"
2010,12,Acre,120039,PORTO WALTER,"0,532","0,397","0,726","0,521"
2010,12,Acre,120040,RIO BRANCO,"0,727","0,661","0,798","0,729"
2010,12,Acre,120042,RODRIGUES ALVES,"0,567","0,477","0,736","0,518"
2010,12,Acre,120043,SANTA ROSA DO PURUS,"0,517","0,34","0,781","0,519"
2010,12,Acre,120045,SENADOR GUIOMARD,"0,64","0,513","0,786","0,649"
2010,12,Acre,120050,SENA MADUREIRA,"0,603","0,456","0,81","0,593"
2010,12,Acre,120060,TARAUACÁ,"0,539","0,392","0,72","0,554"
2010,12,Acre,120070,XAPURI,"0,599","0,448","0,773","0,621"
2010,12,Acre,120080,PORTO ACRE,"0,576","0,418","0,771","0,593"
2010,13,Amazonas,130002,ALVARÃES,"0,527","0,377","0,778","0,499"
2010,13,Amazonas,130006,AMATURÁ,"0,56","0,455","0,773","0,499"
2010,13,Amazonas,130008,ANAMÃ,"0,594","0,526","0,741","0,537"
2010,13,Amazonas,130010,ANORI,"0,561","0,433","0,757","0,54"
2010,13,Amazonas,130014,APUÍ,"0,637","0,54","0,772","0,621"
2010,13,Amazonas,130020,ATALAIA DO NORTE,"0,45","0,259","0,733","0,481"
2010,13,Amazonas,130030,AUTAZES,"0,577","0,446","0,799","0,539"
2010,13,Amazonas,130040,BARCELOS,"0,5","0,315","0,728","0,545"
2010,13,Amazonas,130050,BARREIRINHA,"0,574","0,522","0,774","0,469"
2010,13,Amazonas,130060,BENJAMIN CONSTANT,"0,574","0,471","0,763","0,526"
2010,13,Amazonas,130063,BERURI,"0,506","0,346","0,731","0,512"
2010,13,Amazonas,130068,BOA VISTA DO RAMOS,"0,565","0,484","0,75","0,496"
2010,13,Amazonas,130070,BOCA DO ACRE,"0,588","0,455","0,777","0,576"
2010,13,Amazonas,130080,BORBA,"0,56","0,425","0,776","0,532"
2010,13,Amazonas,130083,CAAPIRANGA,"0,569","0,436","0,775","0,544"
2010,13,Amazonas,130090,CANUTAMA,"0,53","0,379","0,752","0,522"
2010,13,Amazonas,130100,CARAUARI,"0,549","0,416","0,745","0,534"
2010,13,Amazonas,130110,CAREIRO,"0,557","0,431","0,779","0,515"
2010,13,Amazonas,130115,CAREIRO DA VÁRZEA,"0,568","0,45","0,779","0,523"
2010,13,Amazonas,130120,COARI,"0,586","0,425","0,78","0,606"
2010,13,Amazonas,130130,CODAJÁS,"0,563","0,421","0,775","0,546"
2010,13,Amazonas,130140,EIRUNEPÉ,"0,563","0,431","0,756","0,548"
2010,13,Amazonas,130150,ENVIRA,"0,509","0,349","0,727","0,521"
2010,13,Amazonas,130160,FONTE BOA,"0,53","0,4","0,719","0,518"
2010,13,Amazonas,130165,GUAJARÁ,"0,532","0,387","0,762","0,51"
2010,13,Amazonas,130170,HUMAITÁ,"0,605","0,451","0,791","0,621"
2010,13,Amazonas,130180,IPIXUNA,"0,481","0,302","0,772","0,476"
2010,13,Amazonas,130185,IRANDUBA,"0,613","0,476","0,799","0,607"
2010,13,Amazonas,130190,ITACOATIARA,"0,644","0,534","0,811","0,618"
2010,13,Amazonas,130195,ITAMARATI,"0,477","0,266","0,772","0,529"
2010,13,Amazonas,130200,ITAPIRANGA,"0,654","0,594","0,792","0,594"
2010,13,Amazonas,130210,JAPURÁ,"0,522","0,345","0,748","0,552"
2010,13,Amazonas,130220,JURUÁ,"0,522","0,376","0,704","0,538"
2010,13,Amazonas,130230,JUTAÍ,"0,516","0,34","0,766","0,528"
2010,13,Amazonas,130240,LÁBREA,"0,531","0,374","0,744","0,538"
2010,13,Amazonas,130250,MANACAPURU,"0,614","0,481","0,795","0,604"
2010,13,Amazonas,130255,MANAQUIRI,"0,596","0,51","0,748","0,556"
2010,13,Amazonas,130260,MANAUS,"0,737","0,658","0,826","0,738"
2010,13,Amazonas,130270,MANICORÉ,"0,582","0,456","0,747","0,58"
2010,13,Amazonas,130280,MARAÃ,"0,498","0,348","0,763","0,466"
2010,13,Amazonas,130290,MAUÉS,"0,588","0,464","0,8","0,549"
2010,13,Amazonas,130300,NHAMUNDÁ,"0,586","0,503","0,779","0,513"
2010,13,Amazonas,130310,NOVA OLINDA DO NORTE,"0,558","0,412","0,78","0,541"
2010,13,Amazonas,130320,NOVO AIRÃO,"0,57","0,434","0,776","0,551"
2010,13,Amazonas,130330,NOVO ARIPUANÃ,"0,554","0,421","0,759","0,532"
2010,13,Amazonas,130340,PARINTINS,"0,658","0,605","0,8","0,589"
